"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Deporpress: #CDTenerife El gol de @JuanVillar8 y @Longo da la vuelta al mundo https://t.co/0DEGa3Kh1j vía @SC_ESPN  @LaLiga @sergiostd…",FALSE,0,NA,"2018-02-27 14:52:30",FALSE,NA,"968499084163276800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ariadna_cdt",7,TRUE,FALSE,NA,NA
"#CDTenerife 16 partidos después, el catalán se estrena como goleador en categoría profesional https://t.co/PK4tbcLGDD",FALSE,1,NA,"2018-02-27 14:45:00",FALSE,NA,"968497198697721856",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ELDORSAL",0,FALSE,FALSE,NA,NA
"#CDTenerife El gol de @JuanVillar8 y @Longo da la vuelta al mundo https://t.co/0DEGa3Kh1j vía @SC_ESPN  @LaLiga… https://t.co/4NjxWQ2KAi",FALSE,8,NA,"2018-02-27 14:40:09",TRUE,NA,"968495978935439360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Deporpress",7,FALSE,FALSE,NA,NA
"RT @CDTOficial: <U+26BD><U+FE0F>¡¡FINAL en el #HRL!!<ed><U+00A0><U+00BC><ed><U+00BF><U+009F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>

#CDTenerife 3<U+FE0F><U+20E3>-1<U+FE0F><U+20E3> @CDeportivoLugo 

¡Y conseguimos los<U+2795>3<U+FE0F><U+20E3>! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>¡Gracias afición! <ed><U+00A0><U+00BD><ed><U+00B4><U+00B5>

#TenerifeLu…",FALSE,0,NA,"2018-02-27 14:39:17",FALSE,NA,"968495757945909248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gabriel9412",91,TRUE,FALSE,NA,NA
"RT @Deporpress: #CDTenerife El Tenerife plantea nuevos retos a sus aficionados https://t.co/anepZgpDia https://t.co/rh2FESr1Rl",FALSE,0,NA,"2018-02-27 14:32:46",FALSE,NA,"968494121357840384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","artapalos",1,TRUE,FALSE,NA,NA
"#CDTenerife <U+26BD><ed><U+00A0><U+00BD><ed><U+00B3><U+00B9> Volvamos a ver los goles de un gran triunfo, con el que el tinerfeñismo recobra la ilusión <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> https://t.co/XP3LtbRsjJ",FALSE,0,NA,"2018-02-27 14:30:01",FALSE,NA,"968493428811161600",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ELDORSAL",0,FALSE,FALSE,NA,NA
"#CDTenerife El Tenerife plantea nuevos retos a sus aficionados https://t.co/anepZgpDia https://t.co/rh2FESr1Rl",FALSE,2,NA,"2018-02-27 14:11:13",FALSE,NA,"968488697942478848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Deporpress",1,FALSE,FALSE,NA,NA
"RT @ELDORSAL: #CDTenerife <ed><U+00A0><U+00BC><ed><U+00BE><U+0099> @AlbertoLaoliva ha sido indiscutible desde que llegó @17Etxeberria y, ahora, no quiere que nadie le quite el pu…",FALSE,0,NA,"2018-02-27 14:04:45",FALSE,NA,"968487070288269312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jorgeglez09",2,TRUE,FALSE,NA,NA
"#CDTenerife Alberto, Longo, Villar...¿Quién fue el futbolista blanquiazul más destacado? Aquí puedes elegirlo https://t.co/if3f2dc9Gy",FALSE,0,NA,"2018-02-27 14:00:01",FALSE,NA,"968485877662941184",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ELDORSAL",0,FALSE,FALSE,NA,NA
"RT @ELDORSAL: #CDTenerife Exteberría: ""El equipo crece en intensidad y declaración de intenciones, deque pasa de medio campo transmite peli…",FALSE,0,NA,"2018-02-27 13:45:16",FALSE,NA,"968482164965863424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jonay_CDT",1,TRUE,FALSE,NA,NA
"#CDTenerife Exteberría: ""El equipo crece en intensidad y declaración de intenciones, deque pasa de medio campo tran… https://t.co/ny7033pc4d",FALSE,5,NA,"2018-02-27 13:45:00",TRUE,NA,"968482098255298560",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ELDORSAL",1,FALSE,FALSE,NA,NA
